text,intent
my throat hurts - moderate,ask_symptom
i have a headache - moderate,ask_symptom
random noise 890 !1rd,gibberish
sup,greet
cya,goodbye
much appreciated,thanks
cya,goodbye
thanks,thanks
vmiting now!?,give_symptom
skin itching after food,give_symptom
goodbye,goodbye
my throat hurts...,ask_symptom
asd asd asd,gibberish
"pls help, thanks :)",thanks
blood pressure 150/90 for 2 mins,give_symptom
i have fever for 3 hrs - severe,ask_symptom
goodbye,goodbye
much appreciated,thanks
"yo, cheers",thanks
goodbye,goodbye
i'm shrt sob brath - mild,ask_symptom
i feel weak for 1 days,ask_symptom
hjkl; 098,gibberish
ncnscius,emergency
cheers!?,thanks
zzzzzzzz,gibberish
"yo, morning",greet
sudden paralysis IN office,emergency
i have fever for 2 hrs - moderate...,ask_symptom
i'm short of breath after food,ask_symptom
"hi, my throat hrts - vry bad t home",ask_symptom
"hi, feeling dizzy",ask_symptom
vomiting now - moderate,give_symptom
vomiting now for 1 mins,give_symptom
"so, i feel nauseous for 6 mins",ask_symptom
vomiting now - moderate,give_symptom
i feel weak,ask_symptom
"yo, collapse - severe after exercise",emergency
ggggggg,gibberish
i feel nauseous for 1 days - severe while sleeping,ask_symptom
good morning,greet
thanks,thanks
good evening,greet
my throat hurts,ask_symptom
i feel weak for 3 hrs - severe,ask_symptom
i have a headache!!!,ask_symptom
 fel naseus!!,ask_symptom
i have chest pain - very bad,ask_symptom
hjkl; 098 a2gejd,gibberish
"hey, diarrhea 4 times - slight",give_symptom
feeling dizzy,ask_symptom
"hi, i have a rash for 3 days",ask_symptom
coughing for 3 hrs - slight,give_symptom
high temp 39C,give_symptom
bye bye,goodbye
ggggggg ha#15,gibberish
vomiting now in office,give_symptom
coughing for 3 hrs,give_symptom
pls thx,thanks
ttyl,goodbye
heart rate 110 bpm for 24 hrs,give_symptom
random noise 890 #43k21ksl,gibberish
high temp 39C for 12 days...,give_symptom
by!?,goodbye
see ya,goodbye
"btw, tightness in chest for 12 mins?",give_symptom
i'm short sob sob,ask_symptom
sore throat since morning for 4 hrs - moderate,give_symptom
feeling dizzy,ask_symptom
i have a headache while sleeping,ask_symptom
blarg blap,gibberish
"pls hlp,  fel weak fr 12 hrs - slght",ask_symptom
i have a rash for 2 days - severe,ask_symptom
my throat hurts,ask_symptom
"pls help, blood pressure 150/90 for 1 mins in office",give_symptom
blood pressure 150/90 for 12 hrs,give_symptom
farewell,goodbye
cya!?,goodbye
urgent ambulance for 4 hrs,emergency
i have chest pain - slight,ask_symptom
pls i have a headache for 12 days - slight,ask_symptom
good evening,greet
loremipsumdolor j#le,gibberish
blarg blap 1dhh5q3d52!,gibberish
morning,greet
sore throat since morning for 24 hrs!!!,give_symptom
"so, i'm coughing",ask_symptom
"hi, darrh 4 times",give_symptom
i feel weak after food,ask_symptom
"btw, good mrnng",greet
my throat hurts for 12 hrs - very bad,ask_symptom
my throat hurts - moderate...,ask_symptom
severe allergic reaction,emergency
i have fever for 6 mins - severe!?,ask_symptom
blood bp 150/90 for 12 days,give_symptom
hjkl; 098,gibberish
thx!!,thanks
cya,goodbye
heart rate 110 bpm,give_symptom
"hi, i'm coughing",ask_symptom
"so, high temp 39C",give_symptom
severe burn,emergency
zzzzzzzz e4#wgd@sls3r,gibberish
skin itching after food,give_symptom
ggggggg,gibberish
"yo, i have a rash",ask_symptom
thanks!!!,thanks
see ya,goodbye
??!!??,gibberish
qwrty 123,gibberish
ggggggg,gibberish
!!!@@@ @sreha,gibberish
good morning,greet
"btw, talk lter",goodbye
i have chest pain for 24 mins - slight,ask_symptom
tightness in chest - slight,give_symptom
sudden paralysis - slight,emergency
 feel wak in offce...,ask_symptom
"yo, ty",thanks
thanks a lot?,thanks
hey,greet
I have fever,ask_symptom
sore throat since morning for 12 days in office,give_symptom
skin itching after food for 4 days in office?,give_symptom
pls thanks :),thanks
FAREWELL,goodbye
"s,  hve  rsh - mild",ask_symptom
hjkl; 098,gibberish
good morning?,greet
collapse for 12 hrs,emergency
CYA,goodbye
loremipsumdolor,gibberish
!!!@@@ #2@j@sg524d,gibberish
"so, i have a rash for 24 hrs",ask_symptom
thanks a lot,thanks
ggggggg dl@qf51ll,gibberish
"pls help, bye bye",goodbye
blarg blap,gibberish
i have fever for 6 hrs,ask_symptom
yo?,greet
??!!??,gibberish
heart rate 110 bpm - very bad,give_symptom
ggggggg,gibberish
 feel nuseos,ask_symptom
severe chest pain - slight,emergency
"hi, hi",greet
"btw, severe allergic reaction for 2 days",emergency
feeling dizzy for 4 hrs,ask_symptom
"hey, see ya",goodbye
COLLAPSE - moderate,emergency
"pls hlp, drrhe 4 times fr 1 hrs...",give_symptom
much appreciated,thanks
blood pressure 150/90 for 1 days,give_symptom
asd asd asd,gibberish
cheers,thanks
loss of vision,emergency
bye,goodbye
"pls help, vomiting now",give_symptom
"hey, i'm short of breath - slight",ask_symptom
i have a headache for 2 mins,ask_symptom
my throat hurts for 4 days - mild,ask_symptom
"yo, i'm coughing for 1 mins",ask_symptom
thx,thanks
 hve chest pan,ask_symptom
see ya!!,goodbye
TTYL,goodbye
blood pressure 150/90,give_symptom
"so, i hve fvr",ask_symptom
!!!@@@,gibberish
hgh temp 39C,give_symptom
help! can't breathe for 24 mins,emergency
skin itching after food for 3 mins,give_symptom
"so,  hv chst pin for 1 dys",ask_symptom
"hi, i have a rash - mild...",ask_symptom
??!!??,gibberish
i feel nauseous!!!,ask_symptom
"btw, feeling dizzy - mild",ask_symptom
"BTW, hey",greet
i've had fever for 2 days,give_symptom
s ya,goodbye
coughing for 3 hrs after food,give_symptom
yo,greet
hey,greet
hi!!,greet
i hav chst pain,ask_symptom
i'm coughing for 1 days in office,ask_symptom
my throat hurts,ask_symptom
sup!?,greet
cya,goodbye
blarg blap,gibberish
feeling dizzy for 2 days,ask_symptom
skin itching after food after food,give_symptom
i have a rash,ask_symptom
hiya,greet
"hi, diarrhea 4 times for 24 days",give_symptom
??!!?? 2dw5edw4d133,gibberish
tightness in chest - mild!?,give_symptom
"so, cheers?",thanks
asd asd asd @lsss#523sjs,gibberish
random noise 890,gibberish
pls hrt rat 110 bpm,give_symptom
qwrty 123,gibberish
i feel nauseous after exercise,ask_symptom
blood pressure 150/90 - moderate?,give_symptom
"so, thx",thanks
blood pressure 150/90 - severe,give_symptom
vomiting now,give_symptom
blarg blap,gibberish
i have fev for 6 hrs,ask_symptom
heart rate 110 bpm - slight,give_symptom
bye bye,goodbye
"yo, i have chest pain for 3 hrs - slight after exercise",ask_symptom
i have a rash,ask_symptom
feling dizzy fr 2 days,ask_symptom
random noise 890 1122err!ea,gibberish
sup,greet
loremipsumdolor f5hq#dk3#h,gibberish
"hey, i have a rash - severe",ask_symptom
i'm short sob breath while sleeping,ask_symptom
i'm short of breath!!,ask_symptom
qwrty 123,gibberish
"pls help, hey there",greet
i have a rash for 1 days,ask_symptom
heart rate 110 bpm for 6 days,give_symptom
"pls help, diarrhea 4 times - severe after exercise",give_symptom
i'm coughng,ask_symptom
"hi, i have chest pain",ask_symptom
feeling dizzy for 12 days,ask_symptom
good evening,greet
"hey, i'm short of sob",ask_symptom
i have a rash for 6 mins!!,ask_symptom
blood pressure 150/90,give_symptom
i'm short of breath - moderate!?,ask_symptom
i have fever,ask_symptom
loremipsumdolor,gibberish
thx,thanks
thanks :),thanks
yo...,greet
blood pressure 150/90 for 24 days,give_symptom
tightness in chest for 4 hrs in office,give_symptom
sore throat since morning - very bad,give_symptom
asd asd asd f51!rr1l,gibberish
blarg blap r#h4fr15,gibberish
tightness in chest?,give_symptom
??!!??,gibberish
sore throat since morning for 4 hrs,give_symptom
i'm coughing,ask_symptom
pls good morning,greet
skin itching after food for 1 mins,give_symptom
cya,goodbye
ttyl,goodbye
loremipsumdolor,gibberish
skn itchng fter fod - slight,give_symptom
sore throat since morning for 2 days!!!,give_symptom
ggggggg hsl#,gibberish
zzzzzzzz,gibberish
loss of vision,emergency
hello,greet
bye bye,goodbye
blood pressure 150/90,give_symptom
blarg blap,gibberish
i have fver for 24 mins,ask_symptom
"y, thanks  lot",thanks
bye,goodbye
"so, thx...",thanks
i have chest pain for 6 mins,ask_symptom
high temp 39C for 3 mins,give_symptom
sevr chest pain fr 12 hrs,emergency
heart rate 110 bpm - slight after exercise?,give_symptom
vomiting now,give_symptom
my throat hurts for 2 hrs,ask_symptom
"so, sore throat since MORNING...",give_symptom
"btw, i have fever for 1 hrs!?",ask_symptom
i have chest pain for 3 hrs - moderate,ask_symptom
good evening,greet
random noise 890,gibberish
i fel nuseus!!,ask_symptom
"btw, thanks",thanks
COUGHING for 3 hrs - mild,give_symptom
random noise 890,gibberish
"pls help, severe allergic reaction",emergency
heart rate 110 bpm for 4 days - mild?,give_symptom
diarrhea 4 times,give_symptom
qwrty 123,gibberish
zzzzzzzz r@l,gibberish
blood bp 150/90 after fod,give_symptom
my throat hurts for 3 mins - moderate after food,ask_symptom
hello!?,greet
i feel nauseous - slight in office,ask_symptom
severe chest pain after food,emergency
"btw, help! can't breathe",emergency
??!!??,gibberish
farewell,goodbye
 hv fv for 3 days in ffce,ask_symptom
"hey, thank you",thanks
qwrty 123 5elr#ww,gibberish
hjkl; 098 hk2slars,gibberish
??!!??,gibberish
high temp 39C after exercise!?,give_symptom
see ya,goodbye
"yo, hiya",greet
zzzzzzzz !ekfsq,gibberish
unconscious for 24 mins,emergency
 hv  rash - sevre,ask_symptom
i'm coughing,ask_symptom
"yo, i have fever for 1 mins - very bad",ask_symptom
i have a rash,ask_symptom
hello,greet
zzzzzzzz,gibberish
loremipsumdolor,gibberish
severe bleeding for 6 days - very bad in office,emergency
my throat hurts for 2 days,ask_symptom
diarrhea 4 times,give_symptom
random noise 890,gibberish
??!!??,gibberish
tightness in chest for 1 hrs in office,give_symptom
blarg blap 3k#k3!3,gibberish
"yo, i have a headache - slight",ask_symptom
thanks a lot,thanks
random noise 890,gibberish
i feel nauseous at home,ask_symptom
"yo, sore throat since morning at home!!",give_symptom
blood pressure 150/90 - moderate at home,give_symptom
i have a headache - moderate!?,ask_symptom
feeling dizzy,ask_symptom
ggggggg,gibberish
my throat hurts,ask_symptom
tightness in chest,give_symptom
cheers,thanks
zzzzzzzz,gibberish
vomiting now for 12 hrs in office,give_symptom
i feel nauseous for 3 days,ask_symptom
talk ltr,goodbye
i have a rash for 2 hrs,ask_symptom
"pls help, i've had fever for 2 days for 12 mins",give_symptom
my throat hurts for 24 hrs...,ask_symptom
!!!@@@,gibberish
"so, tightness in chest",give_symptom
hey there,greet
"yo, skin itching after food for 6 days - moderate",give_symptom
diarrh 4 tms!!,give_symptom
loremipsumdolor,gibberish
HI,greet
morning!?,greet
 hve chest pin for 2 mins in ffc,ask_symptom
i have fever for 4 mins,ask_symptom
morning,greet
sudden paralysis,emergency
"hi, my throat hurts",ask_symptom
diarrhea 4 times!?,give_symptom
skin itching after food,give_symptom
"hi, vomiting now - severe...",give_symptom
loremipsumdolor rswh3,gibberish
blarg blap,gibberish
loremipsumdolor,gibberish
my throat hurts for 24 mins - slight,ask_symptom
blarg blap,gibberish
qwrty 123,gibberish
i'm coughing for 24 mins!?,ask_symptom
i'm short of breath!!!,ask_symptom
cheers,thanks
"so, i feel nauseous for 24 hrs...",ask_symptom
skin itching after food,give_symptom
random noise 890 k#e!,gibberish
thanks,thanks
good evening!?,greet
thanks a lot,thanks
i have a rash - very bad,ask_symptom
i have chest pain,ask_symptom
"pls help, i'm coughing",ask_symptom
feeling dizzy for 1 hrs,ask_symptom
i have fever for 3 days,ask_symptom
tightness in chest - severe,give_symptom
diarrhea 4 times,give_symptom
blood pressure 150/90,give_symptom
hello,greet
!!!@@@,gibberish
"pls HELP, ttyl",goodbye
urgent ambulance,emergency
collapse for 24 hrs,emergency
high temp 39C,give_symptom
zzzzzzzz,gibberish
zzzzzzzz !@4r1k33,gibberish
i have a rash,ask_symptom
random noise 890,gibberish
blood pressure 150/90 for 1 mins - slight,give_symptom
qwrty 123,gibberish
my throat hurts for 1 hrs...,ask_symptom
i have fever,ask_symptom
i feel nauseous for 12 mins,ask_symptom
qwrty 123,gibberish
hjkl; 098,gibberish
hjkl; 098,gibberish
asd asd asd ejlk!4#g2,gibberish
THANK you,thanks
vomiting now for 1 hrs,give_symptom
diarrhea 4 times for 12 days - very bad,give_symptom
"so, i feel weak for 4 mins?",ask_symptom
i'm short of breath,ask_symptom
thx...,thanks
"pls help, diarrhea 4 times for 2 hrs - severe",give_symptom
sup,greet
i'm short of breath - very bad,ask_symptom
hi,greet
i have a headache,ask_symptom
"BTW, have fever",ask_symptom
talk later,goodbye
i have fever,ask_symptom
i feel weak for 4 mins - slight!!!,ask_symptom
hey,greet
hjkl; 098,gibberish
vomiting now for 12 hrs,give_symptom
skin itching after food for 24 mins!?,give_symptom
"yo, thank you...",thanks
"hi, diarrhea 4 times",give_symptom
blod prssr 150/90,give_symptom
pls i feel nauseous,ask_symptom
!!!@@@ lh!@essgwhqs,gibberish
hey,greet
"btw, i have a rash - moderate",ask_symptom
coughing for 3 hrs for 12 days - slight,give_symptom
"yo, hey",greet
i feel weak,ask_symptom
zzzzzzzz,gibberish
!!!@@@ sw5,gibberish
i have chest pain for 3 days!?,ask_symptom
i feel wak,ask_symptom
thanks,thanks
pls i feel weak for 12 hrs,ask_symptom
my throat hurts - severe!!!,ask_symptom
zzzzzzzz aahrsjq,gibberish
asd asd asd 2ww5sjsdjj,gibberish
ggggggg,gibberish
vomiting now - mild,give_symptom
SUP,greet
'v had fvr for 2 dys,give_symptom
hey,greet
"btw, i have a RASH for 1 mins at home",ask_symptom
hey,greet
tightness in chest - very bad,give_symptom
pls thank you,thanks
'm coughing,ask_symptom
pls my throat hurts,ask_symptom
collapse for 24 mins,emergency
zzzzzzzz fsh4qw,gibberish
"yo, heart rate 110 bpm for 4 mins",give_symptom
loss of vision - slight,emergency
i have fever while sleeping,ask_symptom
ggggggg,gibberish
loremipsumdolor l!#2dq#@whq,gibberish
i'm coughng,ask_symptom
i have fvr - severe,ask_symptom
"hi, high temp 39C for 12 mins!?",give_symptom
diarrhea 4 times for 12 mins,give_symptom
"hey, skin itching after food for 24 mins after food",give_symptom
??!!??,gibberish
"yo, diarrhea 4 times - moderate",give_symptom
i have chest pain while sleeping,ask_symptom
blood pressure 150/90 for 1 days,give_symptom
sore throat since morning!!!,give_symptom
"hi, i'm coughing for 2 days",ask_symptom
asd asd asd rad3ws,gibberish
yo,greet
"hey, i've had fever for 2 days - moderate",give_symptom
hello,greet
i'm coughing for 12 hrs,ask_symptom
farewell,goodbye
i've had fever for 2 days for 6 days,give_symptom
asd asd asd,gibberish
i'm coghing fr 12 hrs!?,ask_symptom
"pls help, i feel nauseous for 4 days",ask_symptom
i'm coughing for 12 mins,ask_symptom
i'm coughing for 2 hrs,ask_symptom
i have chest pain in office,ask_symptom
qwrty 123 r4j4rh4!2qf,gibberish
hjkl; 098,gibberish
!!!@@@,gibberish
PLS talk later,goodbye
 feel wk,ask_symptom
skin tching ftr fod for 3 days,give_symptom
hiya,greet
asd asd asd,gibberish
feeling dizzy for 4 days,ask_symptom
high temp 39C at home,give_symptom
skin itching after food,give_symptom
i feel nauseous after food...,ask_symptom
bye,goodbye
thanks :),thanks
i have a rsh!!,ask_symptom
loremipsumdolor,gibberish
loremipsumdolor aj#gel,gibberish
pls i'm coughing for 2 days after food,ask_symptom
"pls hlp, svre bleedng",emergency
severe burn - very bad,emergency
good evening,greet
hert rat 110 bpm fr 2 dys fter xercise,give_symptom
severe chest pain for 12 days - slight,emergency
severe chst pain,emergency
tightness in chest,give_symptom
"yo, vomiting now",give_symptom
heart rate 110 bpm for 2 hrs,give_symptom
i have a headache - mild,ask_symptom
i feel weak for 6 hrs after exercise,ask_symptom
ggggggg,gibberish
"pls help, i feel weak for 6 days",ask_symptom
flng dizzy for 6 mins...,ask_symptom
morning,greet
bye bye,goodbye
i feel nauseous!?,ask_symptom
qwrty 123,gibberish
??!!??,gibberish
asd asd asd,gibberish
much appreciated,thanks
"pls help, thanks",thanks
"hi, diarrhea 4 times for 4 days - very bad while sleeping!?",give_symptom
 have a headache - svere,ask_symptom
"yo, thx",thanks
"so, i'm short of breath for 24 days",ask_symptom
skin itching after food for 2 days - slight!!,give_symptom
"yo, thanks :)",thanks
tightnss in chest,give_symptom
thank you!!,thanks
bp bp 150/90 - mild,give_symptom
tightness in chest,give_symptom
collapse,emergency
good morning,greet
goodbye,goodbye
thanks :),thanks
"hi, loss sob vision for 24 days",emergency
i'm cughng for 12 mns n ffic,ask_symptom
coughing for 3 hrs,give_symptom
MORNING,greet
qwrty 123,gibberish
high temp 39C,give_symptom
cya,goodbye
ttyl,goodbye
yo,greet
coughing for 3 hrs for 2 days,give_symptom
??!!??,gibberish
!!!@@@,gibberish
high temp 39C,give_symptom
random noise 890,gibberish
my throat hurts for 4 mins - slight after exercise,ask_symptom
i've had fever for 2 days for 1 hrs,give_symptom
i have a headache for 1 mins,ask_symptom
i'm shrt f breath,ask_symptom
i feel weak for 12 hrs,ask_symptom
tightness in chest - very bad,give_symptom
i have fvr after exercise,ask_symptom
talk later,goodbye
"hi, cya",goodbye
"pls help, sore throat since morning for 24 mins",give_symptom
ty!?,thanks
thank you,thanks
qwrty 123,gibberish
sore throat since morning - very bad?,give_symptom
severe chest pain,emergency
i'm short of breath,ask_symptom
i have chest pain,ask_symptom
see ya,goodbye
"hi, i have a rash",ask_symptom
thanks :),thanks
thanks a lot,thanks
"so, bye",goodbye
high temp 39C,give_symptom
tightness in chest,give_symptom
ggggggg #1sa@qw3,gibberish
good morning,greet
ttyl,goodbye
i feel nauseous for 1 days,ask_symptom
"btw, feeling dizzy - severe after exercise",ask_symptom
 fl nusus - slght,ask_symptom
i have a headache,ask_symptom
hjkl; 098,gibberish
ggggggg,gibberish
vomiting now for 3 hrs in office,give_symptom
i have a rash,ask_symptom
"btw, my thrat hrts for 6 mins - modrat whle sleeping",ask_symptom
loss f visn,emergency
sudden paralysis for 4 hrs while sleeping,emergency
collapse,emergency
loss of vision for 24 days,emergency
cheers...,thanks
i have chest pain,ask_symptom
i have a rash - moderate,ask_symptom
zzzzzzzz 5gqffg,gibberish
thank you,thanks
thanks A lot!!!,thanks
loremipsumdolor,gibberish
"pls HELP, thank you!!!",thanks
pls felng dzzy whle slpng,ask_symptom
'm coughng fr 2 days,ask_symptom
hjkl; 098,gibberish
"yo, sore throat since morning for 3 hrs",give_symptom
blarg blap,gibberish
i'm coughing!?,ask_symptom
i have a headache!!!,ask_symptom
hjkl; 098,gibberish
random noise 890 w2@31!fw,gibberish
much appreciated,thanks
loremipsumdolor,gibberish
severe chest pain - vry bad,emergency
i'm short sob breath at home...,ask_symptom
zzzzzzzz,gibberish
feeling dizzy at home!?,ask_symptom
loremipsumdolor,gibberish
random noise 890,gibberish
qwrty 123,gibberish
asd asd asd,gibberish
ttyl!?,goodbye
good evening,greet
high temp 39C,give_symptom
thanks a lot,thanks
blarg blap,gibberish
 hav fev fr 2 dys,ask_symptom
i'm coughing for 1 days?,ask_symptom
diarrhea 4 times,give_symptom
"hi, i have a rash for 6 days",ask_symptom
coughing for 3 hrs for 4 hrs - slight,give_symptom
skin itching after food,give_symptom
pls i have a headache - moderate,ask_symptom
thx!!!,thanks
asd asd asd,gibberish
"HEY, my throat hurts at home",ask_symptom
thanks :),thanks
i have chest pain - mild after food!?,ask_symptom
i'm short of breath,ask_symptom
my throt hrts,ask_symptom
ggggggg,gibberish
high tmp 39C fr 12 hrs,give_symptom
ggggggg r1sh3,gibberish
"so, coughing for 3 hrs for 12 hrs - severe...",give_symptom
heart rate 110 bpm?,give_symptom
asd asd asd,gibberish
i've had fever for 2 days!!,give_symptom
unconscious,emergency
i'm short of breath after food,ask_symptom
coughing for 3 hrs - moderate!!!,give_symptom
i have fever for 4 hrs after food,ask_symptom
