text,intent
Talk later,goodbye
Remedy for sore throat,ask_symptom
back hurts,give_symptom
MAJOR ACCIDENT BLEEDING,emergency
weakness and body ache,give_symptom
uh how to treat back pain,ask_symptom
cya,goodbye
Bye,goodbye
I CAN'T BREATHE PROPERLY,emergency
yo,greet
CATCH YOU LATER,goodbye
MY HEART IS BEATING TOO FAST,emergency
uh stroke signs,emergency
uh dry cough all night,give_symptom
catch you later pls,goodbye
what do u recommend for cough,ask_symptom
why do i feel weak everyday,ask_symptom
need ambulance asap,emergency
G'DAY,greet
what does it mean if i have chest pain,ask_symptom
uh helloo,greet
later bro,goodbye
later bro,goodbye
nose blocked and heavy head!,give_symptom
rash on my arm,give_symptom
uh good evening,greet
Appreciate your help,thanks
wassup pls,greet
do i need a doctor for fever!,ask_symptom
hey assistant pls,greet
APPRECIATE IT,thanks
howdy pls,greet
how to treat back pain!,ask_symptom
loss of appetite!,give_symptom
HI HI,greet
what should I do for fever asap,ask_symptom
hello bot asap,greet
plz ty,thanks
plz what is the cure for cough,ask_symptom
Medicine for flu,ask_symptom
plz why do i feel weak everyday,ask_symptom
running nose n sneezing,give_symptom
WHAT IF MY FEVER LASTS 3 DAYS,ask_symptom
plz any tips for nausea,ask_symptom
uh pain in lower belly,give_symptom
plz what do you recommend for cough,ask_symptom
see you later!,goodbye
ok thanks,thanks
HI THERE,greet
NIGHT,goodbye
blood is coming when I cough asap,emergency
i feel like dying,emergency
vision is blurring,emergency
"help me, I am fainting",emergency
I have a fever and cough!,give_symptom
burning eyes with fever,give_symptom
"help me, I am fainting",emergency
stomach pain since yesterday!,give_symptom
back hurts asap,give_symptom
bye,goodbye
joint pain,give_symptom
see u,goodbye
hiya,greet
running nose n sneezing asap,give_symptom
thank you!,thanks
WHAT SHOULD I DO FOR FEVER,ask_symptom
emergency help please asap,emergency
thank u so much pls,thanks
running nose n sneezing,give_symptom
chest pain and sweating!,give_symptom
HOW CAN I STOP MY COLD FAST,ask_symptom
JOINT PAIN,give_symptom
see you later,goodbye
uh what should I do for fever,ask_symptom
why is my throat swollen pls,ask_symptom
can u explain my symptoms,ask_symptom
I FEEL LIKE DYING,emergency
uh goodbye doctor,goodbye
plz g'day,greet
STOMACH PAIN SINCE YESTERDAY,give_symptom
running nose n sneezing,give_symptom
hi there,greet
thanks a lot!,thanks
good night,goodbye
bye,goodbye
thank u so much,thanks
take care pls,goodbye
greetings pls,greet
i feel like dying,emergency
i feel like dying asap,emergency
helloooo,greet
feel like passing out,emergency
vision is blurring,emergency
dizzy after standing asap,give_symptom
uh appreciate it,thanks
goodbye friend asap,goodbye
cheers!,thanks
Hello,greet
need ambulance,emergency
thx again,thanks
what does it mean if I have chest pain asap,ask_symptom
My heart is beating too fast,emergency
heart hurts bad,emergency
goodbye friend,goodbye
plz wassup,greet
heart hurts bad!,emergency
need ambulance,emergency
uh headache with nausea,give_symptom
IS IT NORMAL TO SWEAT AT NIGHT,ask_symptom
talk later,goodbye
goodbye friend,goodbye
night asap,goodbye
THANKS AGAIN,thanks
see u!,goodbye
can you explain my symptoms pls,ask_symptom
why is my throat swollen asap,ask_symptom
peace out,goodbye
back hurts asap,give_symptom
burning eyes with fever asap,give_symptom
plz can't stand straight,emergency
CAN'T MOVE MY ARM,emergency
thanking you,thanks
helloooo!,greet
good morning asap,greet
emergency help please!,emergency
Can't move my arm,emergency
plz ok thanks,thanks
Hey,greet
i feel dizzy what do i do,ask_symptom
weakness and body ache pls,give_symptom
uh peace out,goodbye
"plz help me, I am fainting",emergency
see u asap,goodbye
collapsing rn,emergency
good morning,greet
any tips for nausea,ask_symptom
CATCH YOU LATER,goodbye
plz my heart is beating too fast,emergency
uh do i need a doctor for fever,ask_symptom
what does it mean if I have chest pain,ask_symptom
helloooo pls,greet
sore throat and fever asap,give_symptom
BACK HURTS,give_symptom
Peace out,goodbye
need ambulance asap,emergency
NEED AMBULANCE,emergency
thx again,thanks
goodbye doctor,goodbye
Stroke signs,emergency
EVENING,greet
later bro,goodbye
grateful!,thanks
ok bye pls,goodbye
Grateful,thanks
got stomach ache solution? pls,ask_symptom
thx bro,thanks
uh what do you recommend for cough,ask_symptom
HEY THERE,greet
how can i stop my cold fast!,ask_symptom
I have a fever and cough asap,give_symptom
uh my heart is beating too fast,emergency
uh cant sleep because of headache,give_symptom
talk later asap,goodbye
thank u,thanks
uh emergency help please,emergency
plz pain in lower belly,give_symptom
cya asap,goodbye
loss of appetite pls,give_symptom
what if my fever lasts 3 days!,ask_symptom
uh greetings,greet
what should i do for fever,ask_symptom
I feel like dying,emergency
what is the cure for cough asap,ask_symptom
see you soon asap,goodbye
hey assistant!,greet
what should I do for fever asap,ask_symptom
good night,goodbye
farewell,goodbye
need ambulance!,emergency
DIZZY AFTER STANDING,give_symptom
sore throat and fever,give_symptom
g'day,greet
plz cant sleep because of headache,give_symptom
cya!,goodbye
how do I know if it is serious!,ask_symptom
vomiting after food asap,give_symptom
nose blocked and heavy head,give_symptom
Blood is coming when i cough,emergency
thank you very much asap,thanks
dizzy after standing asap,give_symptom
uh why do i always get headaches,ask_symptom
thanks a lot pls,thanks
MAJOR ACCIDENT BLEEDING,emergency
Goodbye friend,goodbye
hello pls,greet
good evening,greet
uh heart hurts bad,emergency
THANKING YOU,thanks
Hey,greet
thx bro pls,thanks
plz evening,greet
headache with nausea asap,give_symptom
hi!,greet
THANK YOU VERY MUCH,thanks
I feel dizzy what do i do,ask_symptom
dry cough all night,give_symptom
plz hello bot,greet
thank you!,thanks
uh vomiting after food,give_symptom
plz what if my fever lasts 3 days,ask_symptom
uh emergency help please,emergency
BYE,goodbye
plz what should I do for fever,ask_symptom
plz severe chest pain,emergency
medicine for flu asap,ask_symptom
plz thanks again,thanks
great help asap,thanks
good evening asap,greet
heart hurts bad,emergency
good night,goodbye
uh hello bot,greet
plz see ya,goodbye
uh hiya,greet
Vomiting after food,give_symptom
thx,thanks
good night,goodbye
heart hurts bad,emergency
I can't breathe properly pls,emergency
heavy bleeding pls,emergency
chest pain and sweating,give_symptom
plz thank u so much,thanks
headache with nausea,give_symptom
what should I do for fever,ask_symptom
NOSE BLOCKED AND HEAVY HEAD,give_symptom
howdy,greet
hey there,greet
good morning asap,greet
wassup,greet
uh rash on my arm,give_symptom
dry cough all night,give_symptom
hi there,greet
greetings,greet
appreciate it,thanks
Cya,goodbye
THANX,thanks
Cheers,thanks
plz appreciate your help,thanks
thanx,thanks
laters!,goodbye
thx,thanks
plz heart hurts bad,emergency
thanks a lot asap,thanks
How can i stop my cold fast,ask_symptom
plz thanking you,thanks
any tips for nausea,ask_symptom
my heart is beating too fast!,emergency
I have a fever and cough,give_symptom
greetings,greet
how to treat back pain!,ask_symptom
plz weakness and body ache,give_symptom
What should i do for fever,ask_symptom
my heart is beating too fast pls,emergency
do i need a doctor for fever,ask_symptom
hello!,greet
WHAT DOES IT MEAN IF I HAVE CHEST PAIN,ask_symptom
sore throat and fever!,give_symptom
feel like passing out,emergency
wassup,greet
cya,goodbye
HELLO BOT,greet
hey there,greet
thx bro!,thanks
STROKE SIGNS,emergency
goodbye doctor asap,goodbye
sore throat and fever pls,give_symptom
see ya!,goodbye
uh cant sleep because of headache,give_symptom
uh major accident bleeding,emergency
thanks again,thanks
see you later pls,goodbye
plz remedy for sore throat,ask_symptom
appreciate ur help,thanks
plz hey,greet
dizzy after standing,give_symptom
toothache since morning pls,give_symptom
uh later bro,goodbye
later bro asap,goodbye
HIYA,greet
Serious trouble breathing,emergency
ok bye,goodbye
plz medicine for flu,ask_symptom
uh g'day,greet
rash on my arm!,give_symptom
severe chest pain,emergency
hello bot,greet
GOODBYE DOCTOR,goodbye
EVENING,greet
can't stand straight,emergency
uh talk later,goodbye
plz ok bye,goodbye
heavy bleeding,emergency
Farewell,goodbye
hey asap,greet
plz hello,greet
can't move my arm asap,emergency
severe chest pain!,emergency
NIGHT,goodbye
back hurts,give_symptom
URGENT HELP,emergency
Sore throat and fever,give_symptom
greetings,greet
emergency help please,emergency
night,goodbye
plz laters,goodbye
thanks a lot!,thanks
big thanks,thanks
thanking you asap,thanks
My heart is beating too fast,emergency
hey assistant pls,greet
goodbye friend!,goodbye
why is my throat swollen pls,ask_symptom
what if my fever lasts 3 days,ask_symptom
uh thank you,thanks
Hiii,greet
why do i always get headaches,ask_symptom
Sore throat and fever,give_symptom
THX,thanks
GOT STOMACH ACHE SOLUTION?,ask_symptom
plz thank you,thanks
plz running nose n sneezing,give_symptom
g'day asap,greet
stomach pain since yesterday,give_symptom
CANT SLEEP BECAUSE OF HEADACHE,give_symptom
helloo,greet
WHAT DOES IT MEAN IF I HAVE CHEST PAIN,ask_symptom
plz farewell,goodbye
god bless,thanks
talk later,goodbye
sup pls,greet
see u asap,goodbye
cya,goodbye
see ya,goodbye
Good evening,greet
my heart is beating too fast,emergency
do i need a doctor for fever,ask_symptom
uh serious trouble breathing,emergency
sup asap,greet
uh tysm,thanks
How can i stop my cold fast,ask_symptom
talk later asap,goodbye
serious trouble breathing,emergency
got stomach ache solution? asap,ask_symptom
laters!,goodbye
MY THROAT IS SORE,give_symptom
why do i feel weak everyday,ask_symptom
uh thanx,thanks
tysm,thanks
plz thanking you,thanks
Grateful,thanks
i feel like dying,emergency
thx asap,thanks
thank you,thanks
morning,greet
back hurts!,give_symptom
any tips for nausea asap,ask_symptom
urgent help,emergency
sup pls,greet
medicine for flu asap,ask_symptom
heavy bleeding!,emergency
can't move my arm!,emergency
pain in lower belly asap,give_symptom
thx bro pls,thanks
farewell pls,goodbye
can't stand straight pls,emergency
See u,goodbye
g'day asap,greet
cya pls,goodbye
what does it mean if I have chest pain asap,ask_symptom
collapsing rn pls,emergency
see u pls,goodbye
uh toothache since morning,give_symptom
thanks again pls,thanks
HEY,greet
WASSUP,greet
PAIN IN LOWER BELLY,give_symptom
can't stand straight,emergency
uh hello,greet
uh sore throat and fever,give_symptom
serious trouble breathing,emergency
plz I have a fever and cough,give_symptom
Appreciate your help,thanks
TAKE CARE,goodbye
goodbye doctor,goodbye
plz ok thanks,thanks
BLOOD IS COMING WHEN I COUGH,emergency
thanks doc,thanks
ty!,thanks
Any tips for nausea,ask_symptom
dizzy after standing,give_symptom
headache with nausea,give_symptom
burning eyes with fever,give_symptom
uh burning eyes with fever,give_symptom
plz collapsing rn,emergency
heart hurts bad,emergency
OK BYE,goodbye
WHAT IS THE CURE FOR COUGH,ask_symptom
THANK YOU VERY MUCH,thanks
uh thanking you,thanks
uh toothache since morning,give_symptom
chest pain and sweating pls,give_symptom
sore throat and fever asap,give_symptom
tysm asap,thanks
hi hi,greet
THANK U SO MUCH,thanks
morning,greet
what do you recommend for cough pls,ask_symptom
bye now,goodbye
appreciate ur help,thanks
plz sore throat and fever,give_symptom
headache with nausea,give_symptom
howdy,greet
MEDICINE FOR FLU,ask_symptom
got stomach ache solution?,ask_symptom
plz g'day,greet
severe chest pain pls,emergency
NOSE BLOCKED AND HEAVY HEAD,give_symptom
thx,thanks
uh my heart is beating too fast,emergency
Goodbye friend,goodbye
plz goodbye friend,goodbye
helloo pls,greet
how can i stop my cold fast,ask_symptom
hi there pls,greet
Stomach pain since yesterday,give_symptom
plz talk later,goodbye
god bless!,thanks
thanks a lot pls,thanks
wassup pls,greet
thanks again,thanks
loss of appetite!,give_symptom
weakness and body ache,give_symptom
morning,greet
i feel dizzy what do i do,ask_symptom
blood is coming when I cough,emergency
back hurts pls,give_symptom
thanking you pls,thanks
uh call doctor fast,emergency
uh peace out,goodbye
dry cough all night,give_symptom
uh sore throat and fever,give_symptom
uh what does it mean if I have chest pain,ask_symptom
severe chest pain,emergency
severe chest pain,emergency
HEY ASSISTANT,greet
tysm!,thanks
G'DAY,greet
HEAVY BLEEDING,emergency
howdy!,greet
goodbye doctor,goodbye
plz cant sleep because of headache,give_symptom
STROKE SIGNS,emergency
thx bro,thanks
sore throat and fever pls,give_symptom
Heavy bleeding,emergency
what do you recommend for cough asap,ask_symptom
uh headache with nausea,give_symptom
grateful,thanks
is cough dangerous!,ask_symptom
heart hurts bad pls,emergency
plz wassup,greet
uh call doctor fast,emergency
can't move my arm,emergency
laters!,goodbye
need ambulance!,emergency
can you explain my symptoms,ask_symptom
peace out!,goodbye
peace out,goodbye
i feel dizzy what do i do,ask_symptom
HELLO BOT,greet
uh is cough dangerous,ask_symptom
greetings pls,greet
HIYA,greet
WASSUP,greet
bye asap,goodbye
big thanks asap,thanks
uh later bro,goodbye
nose blocked and heavy head,give_symptom
thank you very much asap,thanks
cheers pls,thanks
Thanks again,thanks
plz thanx,thanks
good night,goodbye
cant sleep because of headache,give_symptom
any tips for nausea pls,ask_symptom
Ty,thanks
hey,greet
uh why is my throat swollen,ask_symptom
see u,goodbye
Hiya,greet
cheers pls,thanks
remedy for sore throat pls,ask_symptom
bye bye,goodbye
my throat is sore,give_symptom
BYE NOW,goodbye
HEY,greet
good night pls,goodbye
uh cant sleep because of headache,give_symptom
Thx bro,thanks
plz see you later,goodbye
thx bro asap,thanks
see ya,goodbye
bye,goodbye
what should I do for fever,ask_symptom
plz hiya,greet
burning eyes with fever,give_symptom
stroke signs asap,emergency
THANK YOU,thanks
plz feel like passing out,emergency
nose blocked and heavy head pls,give_symptom
how to treat back pain,ask_symptom
loss of appetite,give_symptom
plz back hurts,give_symptom
NIGHT,goodbye
tysm,thanks
thanks doc asap,thanks
I can't breathe properly asap,emergency
sore throat and fever asap,give_symptom
dizzy after standing,give_symptom
uh cheers,thanks
Wassup,greet
joint pain,give_symptom
Hi there,greet
see you soon!,goodbye
urgent help,emergency
plz laters,goodbye
bye bye asap,goodbye
appreciate it,thanks
hiii,greet
farewell,goodbye
"help me, i am fainting",emergency
chest pain and sweating,give_symptom
can't stand straight,emergency
what should i do for fever,ask_symptom
cheers,thanks
uh god bless,thanks
why do i always get headaches,ask_symptom
thank u so much,thanks
plz grateful,thanks
Goodbye doctor,goodbye
uh loss of appetite,give_symptom
what should i do for fever,ask_symptom
got stomach ache solution?,ask_symptom
Good evening,greet
good night,goodbye
why do i always get headaches,ask_symptom
why is my throat swollen,ask_symptom
what is the cure for cough,ask_symptom
i feel like dying,emergency
i feel dizzy what do i do,ask_symptom
greetings,greet
plz toothache since morning,give_symptom
pain in lower belly!,give_symptom
GOOD MORNING,greet
plz can you explain my symptoms,ask_symptom
hiya,greet
plz dizzy after standing,give_symptom
uh vision is blurring,emergency
thanx,thanks
got stomach ache solution? asap,ask_symptom
later bro pls,goodbye
plz see you soon,goodbye
heyy,greet
hello bot,greet
see you soon,goodbye
Got stomach ache solution?,ask_symptom
CALL DOCTOR FAST,emergency
Cant sleep because of headache,give_symptom
got stomach ache solution?,ask_symptom
hello,greet
plz laters,goodbye
HEADACHE WITH NAUSEA,give_symptom
hi there,greet
MY HEART IS BEATING TOO FAST,emergency
plz sore throat and fever,give_symptom
what should I do for fever,ask_symptom
what's up,greet
I have a fever and cough!,give_symptom
MEDICINE FOR FLU,ask_symptom
plz i feel dizzy what do i do,ask_symptom
Thanx,thanks
Emergency help please,emergency
uh good night,goodbye
hey assistant,greet
how to treat back pain!,ask_symptom
toothache since morning asap,give_symptom
why is my throat swollen,ask_symptom
I feel dizzy what do i do,ask_symptom
uh hello bot,greet
ty,thanks
my heart is beating too fast,emergency
severe chest pain,emergency
appreciate it,thanks
sore throat and fever,give_symptom
Helloo,greet
cya!,goodbye
uh heavy bleeding,emergency
uh hello bot,greet
can you explain my symptoms pls,ask_symptom
plz emergency help please,emergency
helloo,greet
G'DAY,greet
back hurts pls,give_symptom
evening asap,greet
what's up,greet
major accident bleeding pls,emergency
Hello bot,greet
cya,goodbye
what does it mean if I have chest pain,ask_symptom
rash on my arm,give_symptom
REMEDY FOR SORE THROAT,ask_symptom
thank you very much,thanks
why do i always get headaches pls,ask_symptom
hi hi asap,greet
bye bye,goodbye
what do you recommend for cough,ask_symptom
headache with nausea asap,give_symptom
my throat is sore,give_symptom
can't stand straight pls,emergency
laters asap,goodbye
hiya,greet
see u later,goodbye
uh remedy for sore throat,ask_symptom
hello bot,greet
bye,goodbye
what is the cure for cough pls,ask_symptom
cheers,thanks
see you soon asap,goodbye
urgent help!,emergency
uh what is the cure for cough,ask_symptom
toothache since morning pls,give_symptom
bye now!,goodbye
how can i stop my cold fast,ask_symptom
plz how do I know if it is serious,ask_symptom
uh later bro,goodbye
what does it mean if i have chest pain,ask_symptom
dry cough all night,give_symptom
helloooo,greet
uh hey there,greet
Can't move my arm,emergency
uh bye now,goodbye
what is the cure for cough,ask_symptom
hiya pls,greet
thx bro,thanks
heart hurts bad asap,emergency
uh cheers,thanks
WHY DO I ALWAYS GET HEADACHES,ask_symptom
joint pain,give_symptom
I CAN'T BREATHE PROPERLY,emergency
hello!,greet
i feel dizzy what do i do pls,ask_symptom
How to treat back pain,ask_symptom
see u asap,goodbye
laters pls,goodbye
uh i feel dizzy what do i do,ask_symptom
i feel like dying,emergency
Thanks again,thanks
how to treat back pain pls,ask_symptom
thanking you pls,thanks
my heart is beating too fast!,emergency
weakness and body ache,give_symptom
uh toothache since morning,give_symptom
thank u so much,thanks
uh burning eyes with fever,give_symptom
VISION IS BLURRING,emergency
uh stroke signs,emergency
uh great help,thanks
grateful,thanks
Good evening,greet
talk later asap,goodbye
REMEDY FOR SORE THROAT,ask_symptom
helloooo asap,greet
what do u recommend for cough,ask_symptom
STOMACH PAIN SINCE YESTERDAY,give_symptom
plz burning eyes with fever,give_symptom
hey assistant,greet
morning asap,greet
my throat is sore,give_symptom
plz see u,goodbye
goodbye friend,goodbye
RUNNING NOSE N SNEEZING,give_symptom
uh my heart is beating too fast,emergency
hey!,greet
can't stand straight,emergency
plz can't stand straight,emergency
uh is it normal to sweat at night,ask_symptom
Loss of appetite,give_symptom
plz grateful,thanks
plz talk later,goodbye
Hey,greet
Big thanks,thanks
uh dry cough all night,give_symptom
Joint pain,give_symptom
uh laters,goodbye
see u,goodbye
SEE YOU SOON,goodbye
Thanx,thanks
stomach pain since yesterday pls,give_symptom
great help!,thanks
thank you very much asap,thanks
cant sleep because of headache,give_symptom
great help asap,thanks
hey assistant,greet
see you later,goodbye
blood is coming when I cough,emergency
SEE U,goodbye
cant sleep because of headache,give_symptom
got stomach ache solution?,ask_symptom
BYE BYE,goodbye
Why do i always get headaches,ask_symptom
Vomiting after food,give_symptom
can't stand straight!,emergency
plz tysm,thanks
thanx,thanks
plz serious trouble breathing,emergency
plz can't move my arm,emergency
thank u very much,thanks
any tips for nausea,ask_symptom
uh i feel dizzy what do i do,ask_symptom
weakness and body ache pls,give_symptom
plz sore throat and fever,give_symptom
WASSUP,greet
thank u so much asap,thanks
good night pls,goodbye
HI HI,greet
plz dizzy after standing,give_symptom
good evening!,greet
"uh help me, I am fainting",emergency
hello bot!,greet
see ya,goodbye
farewell,goodbye
plz thank u so much,thanks
got stomach ache solution? pls,ask_symptom
WEAKNESS AND BODY ACHE,give_symptom
stroke signs,emergency
I have a fever and cough,give_symptom
heyy,greet
uh laters,goodbye
plz hiya,greet
uh feel like passing out,emergency
goodbye friend,goodbye
morning,greet
thx bro!,thanks
vomiting after food,give_symptom
TOOTHACHE SINCE MORNING,give_symptom
WHY DO I ALWAYS GET HEADACHES,ask_symptom
thanks again!,thanks
how do I know if it is serious pls,ask_symptom
remedy for sore throat!,ask_symptom
plz call doctor fast,emergency
cheers,thanks
catch you later,goodbye
big thanks,thanks
uh g'day,greet
bye,goodbye
see u soon,goodbye
heart hurts bad,emergency
Ty,thanks
yo,greet
heart hurts bad,emergency
how to treat back pain asap,ask_symptom
i feel dizzy what do i do pls,ask_symptom
uh toothache since morning,give_symptom
bye now,goodbye
thx bro,thanks
See ya,goodbye
uh back hurts,give_symptom
nose blocked and heavy head,give_symptom
need ambulance asap,emergency
MORNING,greet
"HELP ME, I AM FAINTING",emergency
HEY ASSISTANT,greet
WHAT DO YOU RECOMMEND FOR COUGH,ask_symptom
later bro,goodbye
uh morning,greet
uh bye,goodbye
severe chest pain pls,emergency
thank u,thanks
back hurts asap,give_symptom
call doctor fast,emergency
hiya,greet
cheers,thanks
back hurts,give_symptom
major accident bleeding asap,emergency
hi hi asap,greet
How to treat back pain,ask_symptom
hello,greet
can't stand straight,emergency
serious trouble breathing,emergency
plz can you explain my symptoms,ask_symptom
LATER BRO,goodbye
what does it mean if I have chest pain!,ask_symptom
plz thanks doc,thanks
thx doc,thanks
what does it mean if i have chest pain,ask_symptom
what should I do for fever,ask_symptom
thank you asap,thanks
plz goodbye friend,goodbye
see ya,goodbye
emergency help please asap,emergency
urgent help,emergency
uh laters,goodbye
great help asap,thanks
thanks again,thanks
heavy bleeding!,emergency
uh chest pain and sweating,give_symptom
uh hi hi,greet
i feel like dying asap,emergency
what if my fever lasts 3 days,ask_symptom
uh goodbye doctor,goodbye
yo,greet
Why is my throat swollen,ask_symptom
uh thank u so much,thanks
goodbye friend,goodbye
emergency help please,emergency
plz cant sleep because of headache,give_symptom
My throat is sore,give_symptom
big thanks pls,thanks
why is my throat swollen,ask_symptom
appreciate it pls,thanks
plz my heart is beating too fast,emergency
Appreciate your help,thanks
need ambulance asap,emergency
uh grateful,thanks
"help me, I am fainting",emergency
uh I have a fever and cough,give_symptom
weakness and body ache,give_symptom
good morning pls,greet
"plz help me, I am fainting",emergency
what is the cure for cough,ask_symptom
See ya,goodbye
Hi there,greet
how do I know if it is serious asap,ask_symptom
EMERGENCY HELP PLEASE,emergency
THANX,thanks
See you soon,goodbye
hi!,greet
plz appreciate it,thanks
ty,thanks
feel like passing out asap,emergency
plz what's up,greet
urgent help asap,emergency
laters,goodbye
g'day,greet
what should I do for fever pls,ask_symptom
uh is it normal to sweat at night,ask_symptom
medicine for flu,ask_symptom
uh stroke signs,emergency
medicine for flu,ask_symptom
how can i stop my cold fast,ask_symptom
uh I can't breathe properly,emergency
rash on my arm,give_symptom
major accident bleeding,emergency
Tysm,thanks
plz pain in lower belly,give_symptom
appreciate it,thanks
